Balanced Fund,BID,OFFER
	2020-02-03,19.85	,19.85	
	2020-02-04,20.09	,20.09	
	2020-02-05,20.20	,20.20	
	2020-02-06,20.36	,20.36	
	2020-02-07,20.32	,20.32	
	2020-02-10,20.30	,20.30	
	2020-02-11,20.37	,20.37	
	2020-02-12,20.47	,20.47	
	2020-02-13,20.45	,20.45	
	2020-02-14,20.45	,20.45	
	2020-02-17,20.48	,20.48	
	2020-02-18,20.33	,20.33	
	2020-02-19,20.43	,20.43	
	2020-02-20,20.39	,20.39	
	2020-02-21,20.30	,20.30	
	2020-02-24,19.91	,19.91	
	2020-02-25,19.83	,19.83	
	2020-02-26,19.71	,19.71	
	2020-02-27,19.52	,19.52	
	2020-02-28,19.18	,19.18	
	2020-03-02,19.41	,19.41	
	2020-03-03,19.41	,19.41	
	2020-03-04,19.57	,19.57	
	2020-03-05,19.61	,19.61	
	2020-03-06,19.37	,19.37	
	2020-03-09,18.63	,18.63	
	2020-03-10,18.68	,18.68	
	2020-03-11,18.39	,18.39	
	2020-03-12,17.41	,17.41	
	2020-03-13,17.40	,17.40	
	2020-03-16,16.69	,16.69	
	2020-03-17,16.76	,16.76	
	2020-03-18,16.23	,16.23	
	2020-03-19,16.06	,16.06	
	2020-03-20,16.41	,16.41	
	2020-03-23,15.88	,15.88	
	2020-03-24,16.60	,16.60	
	2020-03-25,17.03	,17.03	
	2020-03-26,17.35	,17.35	
	2020-03-27,17.32	,17.32	
	2020-03-30,17.32	,17.32	
	2020-03-31,17.39	,17.39	
	2020-04-01,17.12	,17.12	
	2020-04-02,17.15	,17.15	
	2020-04-03,17.02	,17.02	
	2020-04-06,17.43	,17.43	
	2020-04-07,17.70	,17.70	
	2020-04-08,17.75	,17.75	
	2020-04-09,17.95	,17.95	
	2020-04-14,18.13	,18.13	
	2020-04-15,17.90	,17.90	
	2020-04-16,17.86	,17.86	
	2020-04-17,18.17	,18.17	
	2020-04-20,18.13	,18.13	
	2020-04-21,17.77	,17.77	
	2020-04-22,17.89	,17.89	
	2020-04-23,17.99	,17.99	
	2020-04-24,17.93	,17.93	
	2020-04-27,18.17	,18.17	
	2020-04-28,18.27	,18.27	
	2020-04-29,18.52	,18.52	
	2020-05-04,18.08	,18.08	
	2020-05-05,18.20	,18.20	
	2020-05-06,18.20	,18.20	
	2020-05-07,18.19	,18.19	
	2020-05-08,18.42	,18.42	
	2020-05-11,18.50	,18.50	
	2020-05-12,18.40	,18.40	
	2020-05-13,18.30	,18.30	
	2020-05-14,18.18	,18.18	
	2020-05-15,18.19	,18.19	
	2020-05-18,18.45	,18.45	
	2020-05-19,18.55	,18.55	
	2020-05-20,18.68	,18.68	
	2020-05-21,18.60	,18.60	
	2020-05-22,18.31	,18.31	
	2020-05-25,18.40	,18.40	
	2020-05-26,18.69	,18.69	
	2020-05-27,18.70	,18.70	
	2020-05-28,18.80	,18.80	
	2020-05-29,18.85	,18.85	
	2020-06-01,19.08	,19.08	
	2020-06-02,19.25	,19.25	
	2020-06-03,19.48	,19.48	
	2020-06-04,19.52	,19.52	
	2020-06-05,19.72	,19.72	
	2020-06-08,19.76	,19.76	
	2020-06-09,19.80	,19.80	
	2020-06-10,19.83	,19.83	
	2020-06-11,19.41	,19.41	
	2020-06-12,19.30	,19.30	
	2020-06-15,19.15	,19.15	
	2020-06-16,19.49	,19.49	
	2020-06-17,19.54	,19.54	
	2020-06-18,19.54	,19.54	
	2020-06-19,19.59	,19.59	
	2020-06-22,19.61	,19.61	
	2020-06-23,19.79	,19.79	
	2020-06-24,19.60	,19.60	
	2020-06-26,19.49	,19.49	
	2020-06-29,19.46	,19.46	
	2020-06-30,19.54	,19.54	
	2020-07-02,19.82	,19.82	
	2020-07-03,19.92	,19.92	
	2020-07-06,20.26	,20.26	
	2020-07-07,20.16	,20.16	
	2020-07-08,20.26	,20.26	
	2020-07-09,20.31	,20.31	
	2020-07-10,20.25	,20.25	
	2020-07-13,20.34	,20.34	
	2020-07-14,20.24	,20.24	
	2020-07-15,20.41	,20.41	
	2020-07-16,20.22	,20.22	
	2020-07-17,20.28	,20.28	
	2020-07-20,20.38	,20.38	
	2020-07-21,20.62	,20.62	
	2020-07-22,20.52	,20.52	
	2020-07-23,20.55	,20.55	
	2020-07-24,20.32	,20.32	
	2020-07-27,20.44	,20.44	
	2020-07-28,20.48	,20.48	
	2020-07-29,20.53	,20.53	
	2020-07-30,20.45	,20.45	
	2020-07-31,20.42	,20.42	
	2020-08-03,20.50	,20.50	
	2020-08-04,20.69	,20.69	
	2020-08-05,20.83	,20.83	
	2020-08-06,20.81	,20.81	
