Hang Seng Index Tracking Fund,BID,OFFER
	2020-02-03,26.35	,26.35	
	2020-02-04,26.70	,26.70	
	2020-02-05,26.78	,26.78	
	2020-02-06,27.48	,27.48	
	2020-02-07,27.39	,27.39	
	2020-02-10,27.23	,27.23	
	2020-02-11,27.53	,27.53	
	2020-02-12,27.77	,27.77	
	2020-02-13,27.68	,27.68	
	2020-02-14,27.80	,27.80	
	2020-02-17,27.94	,27.94	
	2020-02-18,27.51	,27.51	
	2020-02-19,27.64	,27.64	
	2020-02-20,27.63	,27.63	
	2020-02-21,27.29	,27.29	
	2020-02-24,26.80	,26.80	
	2020-02-25,26.91	,26.91	
	2020-02-26,26.71	,26.71	
	2020-02-27,26.87	,26.87	
	2020-02-28,26.22	,26.22	
	2020-03-02,26.38	,26.38	
	2020-03-03,26.38	,26.38	
	2020-03-04,26.28	,26.28	
	2020-03-05,26.83	,26.83	
	2020-03-06,26.25	,26.25	
	2020-03-09,25.14	,25.14	
	2020-03-10,25.50	,25.50	
	2020-03-11,25.35	,25.35	
	2020-03-12,24.43	,24.43	
	2020-03-13,24.15	,24.15	
	2020-03-16,23.19	,23.19	
	2020-03-17,23.36	,23.36	
	2020-03-18,22.39	,22.39	
	2020-03-19,21.81	,21.81	
	2020-03-20,22.93	,22.93	
	2020-03-23,21.79	,21.79	
	2020-03-24,22.76	,22.76	
	2020-03-25,23.65	,23.65	
	2020-03-26,23.45	,23.45	
	2020-03-27,23.55	,23.55	
	2020-03-30,23.24	,23.24	
	2020-03-31,23.69	,23.69	
	2020-04-01,23.11	,23.11	
	2020-04-02,23.30	,23.30	
	2020-04-03,23.26	,23.26	
	2020-04-06,23.77	,23.77	
	2020-04-07,24.27	,24.27	
	2020-04-08,23.99	,23.99	
	2020-04-09,24.32	,24.32	
	2020-04-14,24.45	,24.45	
	2020-04-15,24.16	,24.16	
	2020-04-16,24.06	,24.06	
	2020-04-17,24.39	,24.39	
	2020-04-20,24.34	,24.34	
	2020-04-21,23.81	,23.81	
	2020-04-22,23.91	,23.91	
	2020-04-23,23.99	,23.99	
	2020-04-24,23.84	,23.84	
	2020-04-27,24.29	,24.29	
	2020-04-28,24.59	,24.59	
	2020-04-29,24.65	,24.65	
	2020-05-04,23.62	,23.62	
	2020-05-05,23.88	,23.88	
	2020-05-06,24.15	,24.15	
	2020-05-07,23.99	,23.99	
	2020-05-08,24.26	,24.26	
	2020-05-11,24.60	,24.60	
	2020-05-12,24.31	,24.31	
	2020-05-13,24.21	,24.21	
	2020-05-14,23.89	,23.89	
	2020-05-15,23.83	,23.83	
	2020-05-18,23.98	,23.98	
	2020-05-19,24.43	,24.43	
	2020-05-20,24.48	,24.48	
	2020-05-21,24.36	,24.36	
	2020-05-22,23.04	,23.04	
	2020-05-25,23.07	,23.07	
	2020-05-26,23.46	,23.46	
	2020-05-27,23.38	,23.38	
	2020-05-28,23.22	,23.22	
	2020-05-29,23.05	,23.05	
	2020-06-01,23.84	,23.84	
	2020-06-02,24.11	,24.11	
	2020-06-03,24.47	,24.47	
	2020-06-04,24.54	,24.54	
	2020-06-05,24.99	,24.99	
	2020-06-08,24.96	,24.96	
	2020-06-09,25.25	,25.25	
	2020-06-10,25.28	,25.28	
	2020-06-11,24.68	,24.68	
	2020-06-12,24.57	,24.57	
	2020-06-15,24.02	,24.02	
	2020-06-16,24.58	,24.58	
	2020-06-17,24.72	,24.72	
	2020-06-18,24.71	,24.71	
	2020-06-19,24.89	,24.89	
	2020-06-22,24.78	,24.78	
	2020-06-23,25.22	,25.22	
	2020-06-24,25.06	,25.06	
	2020-06-26,24.86	,24.86	
	2020-06-29,24.61	,24.61	
	2020-06-30,24.74	,24.74	
	2020-07-02,25.55	,25.55	
	2020-07-03,25.77	,25.77	
	2020-07-06,26.74	,26.74	
	2020-07-07,26.44	,26.44	
	2020-07-08,26.63	,26.63	
	2020-07-09,26.67	,26.67	
	2020-07-10,26.22	,26.22	
	2020-07-13,26.27	,26.27	
	2020-07-14,25.97	,25.97	
	2020-07-15,25.97	,25.97	
