North American Equity Fund,BID,OFFER
	2020-02-03,18.62	,18.62	
	2020-02-04,18.89	,18.89	
	2020-02-05,19.11	,19.11	
	2020-02-06,19.19	,19.19	
	2020-02-07,19.11	,19.11	
	2020-02-10,19.22	,19.22	
	2020-02-11,19.26	,19.26	
	2020-02-12,19.37	,19.37	
	2020-02-13,19.39	,19.39	
	2020-02-14,19.39	,19.39	
	2020-02-17,19.40	,19.40	
	2020-02-18,19.32	,19.32	
	2020-02-19,19.39	,19.39	
	2020-02-20,19.41	,19.41	
	2020-02-21,19.18	,19.18	
	2020-02-24,18.56	,18.56	
	2020-02-25,18.07	,18.07	
	2020-02-26,17.94	,17.94	
	2020-02-27,17.26	,17.26	
	2020-02-28,16.97	,16.97	
	2020-03-02,17.62	,17.62	
	2020-03-03,17.30	,17.30	
	2020-03-04,17.87	,17.87	
	2020-03-05,17.35	,17.35	
	2020-03-06,17.00	,17.00	
	2020-03-09,15.74	,15.74	
	2020-03-10,16.44	,16.44	
	2020-03-11,15.72	,15.72	
	2020-03-12,14.24	,14.24	
	2020-03-13,15.39	,15.39	
	2020-03-16,13.73	,13.73	
	2020-03-17,14.36	,14.36	
	2020-03-18,13.68	,13.68	
	2020-03-19,13.77	,13.77	
	2020-03-20,13.31	,13.31	
	2020-03-23,12.79	,12.79	
	2020-03-24,13.98	,13.98	
	2020-03-25,14.14	,14.14	
	2020-03-26,14.93	,14.93	
	2020-03-27,14.52	,14.52	
	2020-03-30,14.93	,14.93	
	2020-03-31,14.83	,14.83	
	2020-04-01,14.17	,14.17	
	2020-04-02,14.45	,14.45	
	2020-04-03,14.27	,14.27	
	2020-04-06,15.19	,15.19	
	2020-04-07,15.31	,15.31	
	2020-04-08,15.67	,15.67	
	2020-04-09,15.90	,15.90	
	2020-04-14,16.22	,16.22	
	2020-04-15,15.89	,15.89	
	2020-04-16,15.96	,15.96	
	2020-04-17,16.43	,16.43	
	2020-04-20,16.13	,16.13	
	2020-04-21,15.64	,15.64	
	2020-04-22,15.96	,15.96	
	2020-04-23,15.99	,15.99	
	2020-04-24,16.17	,16.17	
	2020-04-27,16.42	,16.42	
	2020-04-28,16.40	,16.40	
	2020-04-29,16.81	,16.81	
	2020-05-04,16.28	,16.28	
	2020-05-05,16.43	,16.43	
	2020-05-06,16.35	,16.35	
	2020-05-07,16.52	,16.52	
	2020-05-08,16.81	,16.81	
	2020-05-11,16.84	,16.84	
	2020-05-12,16.53	,16.53	
	2020-05-13,16.21	,16.21	
	2020-05-14,16.35	,16.35	
	2020-05-15,16.42	,16.42	
	2020-05-18,16.91	,16.91	
	2020-05-19,16.79	,16.79	
	2020-05-20,17.05	,17.05	
	2020-05-21,16.93	,16.93	
	2020-05-22,16.94	,16.94	
	2020-05-25,16.95	,16.95	
	2020-05-26,17.19	,17.19	
	2020-05-27,17.39	,17.39	
	2020-05-28,17.38	,17.38	
	2020-05-29,17.45	,17.45	
	2020-06-01,17.54	,17.54	
	2020-06-02,17.67	,17.67	
	2020-06-03,17.88	,17.88	
	2020-06-04,17.87	,17.87	
	2020-06-05,18.27	,18.27	
	2020-06-08,18.50	,18.50	
	2020-06-09,18.41	,18.41	
	2020-06-10,18.30	,18.30	
	2020-06-11,17.31	,17.31	
	2020-06-12,17.45	,17.45	
	2020-06-15,17.54	,17.54	
	2020-06-16,17.89	,17.89	
	2020-06-17,17.87	,17.87	
	2020-06-18,17.85	,17.85	
	2020-06-19,17.82	,17.82	
	2020-06-22,17.91	,17.91	
	2020-06-23,18.00	,18.00	
	2020-06-24,17.58	,17.58	
	2020-06-26,17.35	,17.35	
	2020-06-29,17.53	,17.53	
	2020-06-30,17.83	,17.83	
	2020-07-02,18.00	,18.00	
	2020-07-03,18.01	,18.01	
	2020-07-06,18.32	,18.32	
	2020-07-07,18.16	,18.16	
	2020-07-08,18.26	,18.26	
	2020-07-09,18.18	,18.18	
	2020-07-10,18.37	,18.37	
	2020-07-13,18.22	,18.22	
	2020-07-14,18.41	,18.41	
	2020-07-15,18.62	,18.62	
	2020-07-16,18.59	,18.59	
	2020-07-17,18.60	,18.60	
	2020-07-20,18.79	,18.79	
	2020-07-21,18.81	,18.81	
	2020-07-22,18.91	,18.91	
	2020-07-23,18.70	,18.70	
	2020-07-24,18.56	,18.56	
	2020-07-27,18.70	,18.70	
	2020-07-28,18.58	,18.58	
	2020-07-29,18.77	,18.77	
	2020-07-30,18.70	,18.70	
	2020-07-31,18.83	,18.83	
	2020-08-03,18.99	,18.99	
	2020-08-04,19.05	,19.05	
	2020-08-05,19.18	,19.18	
	2020-08-06,19.29	,19.29	
	2020-08-07,19.30	,19.30	
	2020-08-10,19.35	,19.35	
	2020-08-11,19.20	,19.20	
	2020-08-12,19.44	,19.44	
	2020-08-13,19.43	,19.43	
	2020-08-14,19.42	,19.42	
	2020-08-17,19.50	,19.50	
	2020-08-18,19.55	,19.55	
	2020-08-19,19.47	,19.47	
	2020-08-20,19.52	,19.52	
	2020-08-21,19.57	,19.57	
	2020-08-24,19.75	,19.75	
	2020-08-25,19.84	,19.84	
	2020-08-26,20.07	,20.07	
	2020-08-27,20.11	,20.11	
	2020-08-28,20.21	,20.21	
	2020-08-31,20.21	,20.21	
	2020-09-01,20.33	,20.33	
	2020-09-02,20.59	,20.59	
	2020-09-03,19.98	,19.98	
	2020-09-04,19.73	,19.73	
	2020-09-07,19.73	,19.73	
	2020-09-08,19.20	,19.20	
	2020-09-09,19.51	,19.51	
	2020-09-10,19.21	,19.21	
	2020-09-11,19.20	,19.20	
	2020-09-14,19.48	,19.48	
	2020-09-15,19.58	,19.58	
	2020-09-16,19.50	,19.50	
	2020-09-17,19.31	,19.31	
	2020-09-18,19.15	,19.15	
	2020-09-21,18.91	,18.91	
	2020-09-22,19.07	,19.07	
	2020-09-23,18.69	,18.69	
	2020-09-24,18.68	,18.68	
	2020-09-25,18.96	,18.96	
	2020-09-28,19.28	,19.28	
	2020-09-29,19.20	,19.20	
	2020-09-30,19.35	,19.35	
	2020-10-05,19.59	,19.59	
	2020-10-06,19.39	,19.39	
	2020-10-07,19.66	,19.66	
	2020-10-08,19.84	,19.84	
	2020-10-09,20.03	,20.03	
	2020-10-12,20.33	,20.33	
	2020-10-14,20.14	,20.14	
	2020-10-15,20.06	,20.06	
	2020-10-16,20.05	,20.05	
	2020-10-19,19.75	,19.75	
	2020-10-20,19.79	,19.79	
	2020-10-21,19.77	,19.77	
	2020-10-22,19.83	,19.83	
	2020-10-23,19.90	,19.90	
	2020-10-27,19.52	,19.52	
	2020-10-28,18.87	,18.87	
	2020-10-29,19.01	,19.01	
	2020-10-30,18.83	,18.83	
	2020-11-02,19.02	,19.02	
	2020-11-03,19.38	,19.38	
	2020-11-04,19.74	,19.74	
	2020-11-05,20.19	,20.19	
	2020-11-06,20.16	,20.16	
	2020-11-09,20.47	,20.47	
	2020-11-10,20.35	,20.35	
	2020-11-11,20.49	,20.49	
	2020-11-12,20.34	,20.34	
	2020-11-13,20.54	,20.54	
	2020-11-16,20.80	,20.80	
	2020-11-17,20.73	,20.73	
	2020-11-18,20.55	,20.55	
	2020-11-19,20.58	,20.58	
	2020-11-20,20.48	,20.48	
	2020-11-23,20.56	,20.56	
	2020-11-24,20.87	,20.87	
	2020-11-25,20.89	,20.89	
	2020-11-26,20.87	,20.87	
	2020-11-27,20.95	,20.95	
	2020-11-30,20.86	,20.86	
	2020-12-01,21.08	,21.08	
	2020-12-02,21.11	,21.11	
	2020-12-03,21.13	,21.13	
	2020-12-04,21.28	,21.28	
	2020-12-07,21.31	,21.31	
	2020-12-08,21.36	,21.36	
	2020-12-09,21.16	,21.16	
	2020-12-10,21.15	,21.15	
	2020-12-11,21.13	,21.13	
	2020-12-14,21.06	,21.06	
	2020-12-15,21.33	,21.33	
	2020-12-16,21.37	,21.37	
	2020-12-17,21.50	,21.50	
	2020-12-18,21.47	,21.47	
	2020-12-21,21.36	,21.36	
	2020-12-22,21.35	,21.35	
	2020-12-23,21.39	,21.39	
	2020-12-24,21.43	,21.43	
	2020-12-28,21.55	,21.55	
	2020-12-29,21.56	,21.56	
	2020-12-30,21.58	,21.58	
	2020-12-31,21.69	,21.69	
	2021-01-04,21.42	,21.42	
	2021-01-05,21.56	,21.56	
	2021-01-06,21.67	,21.67	
	2021-01-07,22.00	,22.00	
	2021-01-08,22.16	,22.16	
	2021-01-11,22.04	,22.04	
	2021-01-12,22.05	,22.05	
	2021-01-13,22.07	,22.07	
	2021-01-14,22.03	,22.03	
	2021-01-15,21.87	,21.87	
	2021-01-18,21.86	,21.86	
	2021-01-19,22.04	,22.04	
	2021-01-20,22.33	,22.33	
	2021-01-21,22.38	,22.38	
	2021-01-22,22.33	,22.33	
	2021-01-25,22.39	,22.39	
	2021-01-26,22.37	,22.37	
	2021-01-27,21.84	,21.84	
	2021-01-28,21.93	,21.93	
	2021-01-29,21.62	,21.62	
	2021-02-01,21.89	,21.89	
