Stable Fund,BID,OFFER
	2020-02-03,12.37	,12.37	
	2020-02-04,12.41	,12.41	
	2020-02-05,12.41	,12.41	
	2020-02-06,12.46	,12.46	
	2020-02-07,12.46	,12.46	
	2020-02-10,12.46	,12.46	
	2020-02-11,12.47	,12.47	
	2020-02-12,12.49	,12.49	
	2020-02-13,12.48	,12.48	
	2020-02-14,12.48	,12.48	
	2020-02-17,12.49	,12.49	
	2020-02-18,12.45	,12.45	
	2020-02-19,12.47	,12.47	
	2020-02-20,12.48	,12.48	
	2020-02-21,12.48	,12.48	
	2020-02-24,12.41	,12.41	
	2020-02-25,12.40	,12.40	
	2020-02-26,12.36	,12.36	
	2020-02-27,12.35	,12.35	
	2020-02-28,12.29	,12.29	
	2020-03-02,12.37	,12.37	
	2020-03-03,12.42	,12.42	
	2020-03-04,12.44	,12.44	
	2020-03-05,12.50	,12.50	
	2020-03-06,12.51	,12.51	
	2020-03-09,12.40	,12.40	
	2020-03-10,12.30	,12.30	
	2020-03-11,12.18	,12.18	
	2020-03-12,11.84	,11.84	
	2020-03-13,11.74	,11.74	
	2020-03-16,11.59	,11.59	
	2020-03-17,11.46	,11.46	
	2020-03-18,11.21	,11.21	
	2020-03-19,11.16	,11.16	
	2020-03-20,11.34	,11.34	
	2020-03-23,11.22	,11.22	
	2020-03-24,11.41	,11.41	
	2020-03-25,11.53	,11.53	
	2020-03-26,11.70	,11.70	
	2020-03-27,11.76	,11.76	
	2020-03-30,11.75	,11.75	
	2020-03-31,11.76	,11.76	
	2020-04-01,11.69	,11.69	
	2020-04-02,11.68	,11.68	
	2020-04-03,11.62	,11.62	
	2020-04-06,11.73	,11.73	
	2020-04-07,11.80	,11.80	
	2020-04-08,11.81	,11.81	
	2020-04-09,11.91	,11.91	
	2020-04-14,11.97	,11.97	
	2020-04-15,11.91	,11.91	
	2020-04-16,11.89	,11.89	
	2020-04-17,11.99	,11.99	
	2020-04-20,11.98	,11.98	
	2020-04-21,11.87	,11.87	
	2020-04-22,11.88	,11.88	
	2020-04-23,11.92	,11.92	
	2020-04-24,11.91	,11.91	
	2020-04-27,11.99	,11.99	
	2020-04-28,12.03	,12.03	
	2020-04-29,12.11	,12.11	
	2020-05-04,11.99	,11.99	
	2020-05-05,12.01	,12.01	
	2020-05-06,11.98	,11.98	
	2020-05-07,11.99	,11.99	
	2020-05-08,12.08	,12.08	
	2020-05-11,12.08	,12.08	
	2020-05-12,12.07	,12.07	
	2020-05-13,12.04	,12.04	
	2020-05-14,12.01	,12.01	
	2020-05-15,11.99	,11.99	
	2020-05-18,12.07	,12.07	
	2020-05-19,12.11	,12.11	
	2020-05-20,12.17	,12.17	
	2020-05-21,12.15	,12.15	
	2020-05-22,12.06	,12.06	
	2020-05-25,12.09	,12.09	
	2020-05-26,12.18	,12.18	
	2020-05-27,12.17	,12.17	
	2020-05-28,12.23	,12.23	
	2020-05-29,12.27	,12.27	
	2020-06-01,12.34	,12.34	
	2020-06-02,12.39	,12.39	
	2020-06-03,12.44	,12.44	
	2020-06-04,12.44	,12.44	
	2020-06-05,12.48	,12.48	
	2020-06-08,12.51	,12.51	
	2020-06-09,12.55	,12.55	
	2020-06-10,12.58	,12.58	
	2020-06-11,12.50	,12.50	
	2020-06-12,12.42	,12.42	
	2020-06-15,12.38	,12.38	
	2020-06-16,12.46	,12.46	
	2020-06-17,12.48	,12.48	
	2020-06-18,12.48	,12.48	
	2020-06-19,12.50	,12.50	
	2020-06-22,12.52	,12.52	
	2020-06-23,12.58	,12.58	
	2020-06-24,12.52	,12.52	
	2020-06-26,12.49	,12.49	
	2020-06-29,12.48	,12.48	
	2020-06-30,12.51	,12.51	
	2020-07-02,12.58	,12.58	
	2020-07-03,12.61	,12.61	
	2020-07-06,12.72	,12.72	
	2020-07-07,12.70	,12.70	
	2020-07-08,12.73	,12.73	
	2020-07-09,12.76	,12.76	
	2020-07-10,12.75	,12.75	
	2020-07-13,12.78	,12.78	
	2020-07-14,12.76	,12.76	
